Games,Event,Team,Pos,Medal,As,athlete_id,NOC,Discipline,Nationality
2024 Summer Olympics,"Beach Volleyball, Men",Miles Evans,=9,,Chase Budinger,155375,USA,Beach Volleyball ( Volleyball ),
2024 Summer Olympics,"Beach Volleyball, Men",Chase Budinger,=9,,Miles Evans,155378,USA,Beach Volleyball ( Volleyball ),
2024 Summer Olympics,"Beach Volleyball, Women",Sara Hughes,=5,,Kelly Cheng,147156,USA,Beach Volleyball ( Volleyball ),
2024 Summer Olympics,"Beach Volleyball, Women",Kelly Cheng,=5,,Sara Hughes,155372,USA,Beach Volleyball ( Volleyball ),
2024 Summer Olympics,"Beach Volleyball, Women",Kristen Nuss,=9,,Taryn Kloth,155373,USA,Beach Volleyball ( Volleyball ),
2024 Summer Olympics,"Beach Volleyball, Women",Taryn Kloth,=9,,Kristen Nuss,155370,USA,Beach Volleyball ( Volleyball ),
2024 Summer Olympics,"Flyweight, Men",,=9,,Roscoe Hill,151154,USA,Boxing,
2024 Summer Olympics,"Featherweight, Men",,=5,,Jahmal Harvey,151151,USA,Boxing,
2024 Summer Olympics,"Welterweight, Men",,=3,Bronze,Omari Jones,151153,USA,Boxing,
2024 Summer Olympics,"Super-Heavyweight, Men",,=9,,Joshua Edwards,151152,USA,Boxing,
2024 Summer Olympics,"Flyweight, Women",,=9,,Jennifer Lozano,151149,USA,Boxing,
2024 Summer Olympics,"Lightweight, Women",,=9,,Jajaira Gonzalez,2102735,USA,Boxing,
2024 Summer Olympics,"Featherweight, Women",,=9,,Alyssa Mendoza,151148,USA,Boxing,
2024 Summer Olympics,"Welterweight, Women",,=9,,Morelle McCane,151150,USA,Boxing,
2024 Summer Olympics,"Individual, Men",,3,Bronze,Victor,151005,USA,Breaking ( Dance ),
2024 Summer Olympics,"Individual, Men",,5,,Jeffro,151004,USA,Breaking ( Dance ),
2024 Summer Olympics,"Individual, Women",,10,,Logistx Edra,151002,USA,Breaking ( Dance ),
2024 Summer Olympics,"Individual, Women",,12,,Sunny,151003,USA,Breaking ( Dance ),
2024 Summer Olympics,"Kayak Cross, Slalom, Men",,37,,Casey Eichfeld,116491,USA,Canoe Slalom ( Canoeing ),
2024 Summer Olympics,"Canadian Singles, Slalom, Men",,16,,Casey Eichfeld,116491,USA,Canoe Slalom ( Canoeing ),
2024 Summer Olympics,"Kayak Singles, Slalom, Women",,15,,Evy Leibfarth,147158,USA,Canoe Slalom ( Canoeing ),
2024 Summer Olympics,"Canadian Singles, Slalom, Women",,3,Bronze,Evy Leibfarth,147158,USA,Canoe Slalom ( Canoeing ),
2024 Summer Olympics,"Kayak Cross, Slalom, Women",,10,,Evy Leibfarth,147158,USA,Canoe Slalom ( Canoeing ),
2024 Summer Olympics,"Kayak Singles, 1,000 metres, Men",,24,,Jonas Ecker,151321,USA,Canoe Sprint ( Canoeing ),
2024 Summer Olympics,"Kayak Doubles, 500 metres, Men",Aaron Small,8,,Jonas Ecker,151321,USA,Canoe Sprint ( Canoeing ),
2024 Summer Olympics,"Kayak Singles, 1,000 metres, Men",,25,,Aaron Small,151320,USA,Canoe Sprint ( Canoeing ),
2024 Summer Olympics,"Kayak Doubles, 500 metres, Men",Jonas Ecker,8,,Aaron Small,151320,USA,Canoe Sprint ( Canoeing ),
2024 Summer Olympics,"Canadian Singles, 200 metres, Women",,2,Silver,Nevin Harrison,147159,USA,Canoe Sprint ( Canoeing ),
2024 Summer Olympics,"Park, Men",,4,,Marcus Christopher,151689,USA,Cycling BMX Freestyle ( Cycling ),
2024 Summer Olympics,"Park, Men",,7,,Justin Dowell,147370,USA,Cycling BMX Freestyle ( Cycling ),
2024 Summer Olympics,"Park, Women",,2,Silver,Perris Benegas,147149,USA,Cycling BMX Freestyle ( Cycling ),
2024 Summer Olympics,"Park, Women",,8,,Hannah Roberts,147147,USA,Cycling BMX Freestyle ( Cycling ),
2024 Summer Olympics,"BMX, Men",,5,,Cameron Wood,151684,USA,Cycling BMX Racing ( Cycling ),
2024 Summer Olympics,"BMX, Men",,14,,Kamren Larsen,151687,USA,Cycling BMX Racing ( Cycling ),
2024 Summer Olympics,"BMX, Women",,6,,Alise Willoughby,126753,USA,Cycling BMX Racing ( Cycling ),
2024 Summer Olympics,"BMX, Women",,11,,Daleny Vaughn,151679,USA,Cycling BMX Racing ( Cycling ),
2024 Summer Olympics,"BMX, Women",,22,,Felicia Stancil,147146,USA,Cycling BMX Racing ( Cycling ),
2024 Summer Olympics,"Cross-Country, Men",,7,,Riley Amos,151691,USA,Cycling Mountain Bike ( Cycling ),
2024 Summer Olympics,"Cross-Country, Men",,13,,Christopher Blevins,147407,USA,Cycling Mountain Bike ( Cycling ),
2024 Summer Olympics,"Cross-Country, Women",,2,Silver,Haley Batten,147168,USA,Cycling Mountain Bike ( Cycling ),
2024 Summer Olympics,"Cross-Country, Women",,12,,Savilia Blunk,151683,USA,Cycling Mountain Bike ( Cycling ),
2024 Summer Olympics,"Road Race, Individual, Men",,9,,Matteo Jorgenson,151690,USA,Cycling Road ( Cycling ),
2024 Summer Olympics,"Road Race, Individual, Men",,24,,Brandon McNulty,147406,USA,Cycling Road ( Cycling ),
2024 Summer Olympics,"Individual Time Trial, Men",,5,,Brandon McNulty,147406,USA,Cycling Road ( Cycling ),
2024 Summer Olympics,"Road Race, Individual, Men",,42,,Magnus Sheffield,151688,USA,Cycling Road ( Cycling ),
2024 Summer Olympics,"Individual Time Trial, Men",,16,,Magnus Sheffield,151688,USA,Cycling Road ( Cycling ),
2024 Summer Olympics,"Road Race, Individual, Women",,1,Gold,Kristen Faulkner,151681,USA,Cycling Road ( Cycling ),
2024 Summer Olympics,Cycling Track ( Cycling ),USA,,,Kristen Faulkner,151681,USA,Cycling Road ( Cycling ),
2024 Summer Olympics,"Team Pursuit, Women",United States,1,Gold,Kristen Faulkner,151681,USA,Cycling Road ( Cycling ),
2024 Summer Olympics,"Road Race, Individual, Women",,15,,Chloé Dygert,132066,USA,Cycling Road ( Cycling ),
2024 Summer Olympics,"Individual Time Trial, Women",,3,Bronze,Chloé Dygert,132066,USA,Cycling Road ( Cycling ),
2024 Summer Olympics,Cycling Track ( Cycling ),USA,,,Chloé Dygert,132066,USA,Cycling Road ( Cycling ),
2024 Summer Olympics,"Team Pursuit, Women",United States,1,Gold,Chloé Dygert,132066,USA,Cycling Road ( Cycling ),
2024 Summer Olympics,"Individual Time Trial, Women",,19,,Taylor Knibb,147290,USA,Cycling Road ( Cycling ),
2024 Summer Olympics,Triathlon,USA,,,Taylor Knibb,147290,USA,Cycling Road ( Cycling ),
2024 Summer Olympics,"Olympic Distance, Women",,19,,Taylor Knibb,147290,USA,Cycling Road ( Cycling ),
2024 Summer Olympics,"Relay, Mixed",United States,2,Silver,Taylor Knibb,147290,USA,Cycling Road ( Cycling ),
2024 Summer Olympics,"Omnium, Men",,16,,Grant Koontz,151685,USA,Cycling Track ( Cycling ),
2024 Summer Olympics,"Team Pursuit, Women",United States,1,Gold,Jennifer Valente,132068,USA,Cycling Track ( Cycling ),
2024 Summer Olympics,"Omnium, Women",,1,Gold,Jennifer Valente,132068,USA,Cycling Track ( Cycling ),
2024 Summer Olympics,"Madison, Women",Lily Williams,4,,Jennifer Valente,132068,USA,Cycling Track ( Cycling ),
2024 Summer Olympics,"Team Pursuit, Women",United States,1,Gold,Lily Williams,147163,USA,Cycling Track ( Cycling ),
2024 Summer Olympics,"Madison, Women",Jennifer Valente,4,,Lily Williams,147163,USA,Cycling Track ( Cycling ),
2024 Summer Olympics,"Springboard, Men",,4,,Carson Tyler,151752,USA,Diving ( Aquatics ),
2024 Summer Olympics,"Platform, Men",,19,,Carson Tyler,151752,USA,Diving ( Aquatics ),
2024 Summer Olympics,"Springboard, Men",,15,,Andrew Capobianco,147409,USA,Diving ( Aquatics ),
2024 Summer Olympics,"Platform, Men",,17,,Brandon Loschiavo,147410,USA,Diving ( Aquatics ),
2024 Summer Olympics,"Synchronized Springboard, Men",Greg Duncan,8,,Tyler Downs,147412,USA,Diving ( Aquatics ),
2024 Summer Olympics,"Synchronized Springboard, Men",Tyler Downs,8,,Greg Duncan,151753,USA,Diving ( Aquatics ),
2024 Summer Olympics,"Springboard, Women",,19,,Sarah Bacon,151751,USA,Diving ( Aquatics ),
2024 Summer Olympics,"Synchronized Springboard, Women",Kassidy Cook,2,Silver,Sarah Bacon,151751,USA,Diving ( Aquatics ),
2024 Summer Olympics,"Springboard, Women",,28,,Alison Gibson,147172,USA,Diving ( Aquatics ),
2024 Summer Olympics,"Platform, Women",,15,,Delaney Schnell,147173,USA,Diving ( Aquatics ),
2024 Summer Olympics,"Synchronized Platform, Women",Jessica Parratto,6,,Delaney Schnell,147173,USA,Diving ( Aquatics ),
2024 Summer Olympics,"Platform, Women",,19,,Daryn Wright,151750,USA,Diving ( Aquatics ),
2024 Summer Olympics,"Synchronized Springboard, Women",Sarah Bacon,2,Silver,Kassidy Cook,132075,USA,Diving ( Aquatics ),
2024 Summer Olympics,"Synchronized Platform, Women",Delaney Schnell,6,,Jessica Parratto,132074,USA,Diving ( Aquatics ),
2024 Summer Olympics,"Individual, Open",Helix,20,,Adrienne Lyle,126761,USA,Equestrian Dressage ( Equestrian ),
2024 Summer Olympics,"Team, Open",Helix / United States,DNF,,Adrienne Lyle,126761,USA,Equestrian Dressage ( Equestrian ),
2024 Summer Olympics,"Individual, Open",Suppenkasper,50,,Steffen Peters,12560,USA,Equestrian Dressage ( Equestrian ),
2024 Summer Olympics,"Team, Open",Suppenkasper / United States,DNF,,Steffen Peters,12560,USA,Equestrian Dressage ( Equestrian ),
2024 Summer Olympics,"Individual, Open",Jane,DNF,,Marcus Orlob,151865,USA,Equestrian Dressage ( Equestrian ),
2024 Summer Olympics,"Team, Open",Jane / United States,DNF,,Marcus Orlob,151865,USA,Equestrian Dressage ( Equestrian ),
2024 Summer Olympics,"Individual, Open",,10,,Boyd Martin,126705,USA,Equestrian Eventing ( Equestrian ),
2024 Summer Olympics,"Team, Open",Fedarman B / United States,6,,Boyd Martin,126705,USA,Equestrian Eventing ( Equestrian ),
2024 Summer Olympics,"Individual, Open",,19,,Liz Halliday-Sharp,151862,USA,Equestrian Eventing ( Equestrian ),
2024 Summer Olympics,"Team, Open",Nutcracker / United States,6,,Liz Halliday-Sharp,151862,USA,Equestrian Eventing ( Equestrian ),
2024 Summer Olympics,"Individual, Open",,36,,Caroline Pamukcu,151861,USA,Equestrian Eventing ( Equestrian ),
2024 Summer Olympics,"Team, Open",HSH Blake / United States,6,,Caroline Pamukcu,151861,USA,Equestrian Eventing ( Equestrian ),
2024 Summer Olympics,"Individual, Open",Baloutinue,8,,Laura Kraut,90749,USA,Equestrian Jumping ( Equestrian ),
2024 Summer Olympics,"Team, Open",Baloutinue / United States,2,Silver,Laura Kraut,90749,USA,Equestrian Jumping ( Equestrian ),
2024 Summer Olympics,"Individual, Open",Caracole de la Roque,16,,Karl Cook,151864,USA,Equestrian Jumping ( Equestrian ),
2024 Summer Olympics,"Team, Open",Caracole de la Roque / United States,2,Silver,Karl Cook,151864,USA,Equestrian Jumping ( Equestrian ),
2024 Summer Olympics,"Individual, Open",Ilex,34 r1/2,,McLain Ward,107023,USA,Equestrian Jumping ( Equestrian ),
2024 Summer Olympics,"Team, Open",Ilex / United States,2,Silver,McLain Ward,107023,USA,Equestrian Jumping ( Equestrian ),
2024 Summer Olympics,"Foil, Individual, Men",,3,Bronze,Nick Itkin,147417,USA,Fencing,
2024 Summer Olympics,"Foil, Team, Men",United States,4,,Nick Itkin,147417,USA,Fencing,
2024 Summer Olympics,"Foil, Individual, Men",,11,,Alexander Massialas,127008,USA,Fencing,
2024 Summer Olympics,"Foil, Team, Men",United States,4,,Alexander Massialas,127008,USA,Fencing,
2024 Summer Olympics,"Foil, Individual, Men",,13,,Gerek Meinhardt,118199,USA,Fencing,
2024 Summer Olympics,"Foil, Team, Men",United States,4,,Gerek Meinhardt,118199,USA,Fencing,
2024 Summer Olympics,"Foil, Team, Men",United States,4,,Miles Chamley-Watson,126605,USA,Fencing,
2024 Summer Olympics,"Sabre, Individual, Men",,14,,Mitchell Saron,151985,USA,Fencing,
2024 Summer Olympics,"Sabre, Team, Men",United States,7,,Mitchell Saron,151985,USA,Fencing,
2024 Summer Olympics,"Sabre, Individual, Men",,17,,Eli Dershwitz,136303,USA,Fencing,
2024 Summer Olympics,"Sabre, Team, Men",United States,7,,Eli Dershwitz,136303,USA,Fencing,
2024 Summer Olympics,"Sabre, Individual, Men",,19,,Colin Heathcock,151983,USA,Fencing,
2024 Summer Olympics,"Sabre, Team, Men",United States,7,,Colin Heathcock,151983,USA,Fencing,
2024 Summer Olympics,"Sabre, Team, Men",United States,7,,Filip Dolegiewicz,151984,USA,Fencing,
2024 Summer Olympics,"Foil, Individual, Women",,1,Gold,Lee Kiefer,126517,USA,Fencing,
2024 Summer Olympics,"Foil, Team, Women",United States,1,Gold,Lee Kiefer,126517,USA,Fencing,
2024 Summer Olympics,"Foil, Individual, Women",,2,Silver,Lauren Scruggs,151977,USA,Fencing,
2024 Summer Olympics,"Foil, Team, Women",United States,1,Gold,Lauren Scruggs,151977,USA,Fencing,
2024 Summer Olympics,"Foil, Individual, Women",,18,,Jackie Dubrovich,147181,USA,Fencing,
2024 Summer Olympics,"Foil, Team, Women",United States,1,Gold,Jackie Dubrovich,147181,USA,Fencing,
2024 Summer Olympics,"Foil, Team, Women",United States,1,Gold,Maia Weintraub,151980,USA,Fencing,
2024 Summer Olympics,"Épée, Individual, Women",,12,,Hadley Husisian,151976,USA,Fencing,
2024 Summer Olympics,"Épée, Team, Women",United States,7,,Hadley Husisian,151976,USA,Fencing,
2024 Summer Olympics,"Épée, Individual, Women",,13,,Anne Cebula,151974,USA,Fencing,
2024 Summer Olympics,"Épée, Team, Women",United States,7,,Anne Cebula,151974,USA,Fencing,
2024 Summer Olympics,"Épée, Individual, Women",,22,,Margherita Guzzi Vincenti,151981,USA,Fencing,
2024 Summer Olympics,"Épée, Team, Women",United States,7,,Margherita Guzzi Vincenti,151981,USA,Fencing,
2024 Summer Olympics,"Épée, Team, Women",United States,7,,Kat Holmes,132083,USA,Fencing,
2024 Summer Olympics,"Sabre, Individual, Women",,18,,Elizabeth Tartakovsky,151975,USA,Fencing,
2024 Summer Olympics,"Sabre, Team, Women",United States,5,,Elizabeth Tartakovsky,151975,USA,Fencing,
2024 Summer Olympics,"Sabre, Individual, Women",,21,,Tatiana Nazlymov,151982,USA,Fencing,
2024 Summer Olympics,"Sabre, Team, Women",United States,5,,Tatiana Nazlymov,151982,USA,Fencing,
2024 Summer Olympics,"Sabre, Individual, Women",,22,,Magda Skarbonkiewicz,151978,USA,Fencing,
2024 Summer Olympics,"Sabre, Team, Women",United States,5,,Magda Skarbonkiewicz,151978,USA,Fencing,
2024 Summer Olympics,"Sabre, Team, Women",United States,5,,Maia Chamberlain,151979,USA,Fencing,
2024 Summer Olympics,"Football, Men",United States,8,,Patrick Schulte,152454,USA,Football ( Football ),
2024 Summer Olympics,"Football, Men",United States,8,,Nathan Harriel,152453,USA,Football ( Football ),
2024 Summer Olympics,"Football, Men",United States,8,,Walker Zimmerman,152458,USA,Football ( Football ),
2024 Summer Olympics,"Football, Men",United States,8,,Maximilian Dietz,152451,USA,Football ( Football ),
2024 Summer Olympics,"Football, Men",United States,8,,John Tolkin,152448,USA,Football ( Football ),
2024 Summer Olympics,"Football, Men",United States,8,,Miles Robinson,152452,USA,Football ( Football ),
2024 Summer Olympics,"Football, Men",United States,8,,Caleb Wiley,152438,USA,Football ( Football ),
2024 Summer Olympics,"Football, Men",United States,8,,Gianluca Busio,152442,USA,Football ( Football ),
2024 Summer Olympics,"Football, Men",United States,8,,Tanner Tessmann,152456,USA,Football ( Football ),
2024 Summer Olympics,"Football, Men",United States,8,,Djordje Mihailovic,152439,USA,Football ( Football ),
2024 Summer Olympics,"Football, Men",United States,8,,Benjamin Cremaschi,152437,USA,Football ( Football ),
2024 Summer Olympics,"Football, Men",United States,8,,Jack McGlynn,152444,USA,Football ( Football ),
2024 Summer Olympics,"Football, Men",United States,8,,Kevin Paredes,152450,USA,Football ( Football ),
2024 Summer Olympics,"Football, Men",United States,8,,Griffin Yow,152443,USA,Football ( Football ),
2024 Summer Olympics,"Football, Men",United States,8,,Taylor Booth,152457,USA,Football ( Football ),
2024 Summer Olympics,"Football, Men",United States,8,,Paxten Aaronson,152455,USA,Football ( Football ),
2024 Summer Olympics,"Football, Men",United States,8,,Duncan McGuire,152440,USA,Football ( Football ),
2024 Summer Olympics,"Football, Men",United States,8,,Josh Atencio,152449,USA,Football ( Football ),
2024 Summer Olympics,"Football, Men",United States,DNS,,Gabriel Slonina,152441,USA,Football ( Football ),
2024 Summer Olympics,"Football, Men",United States,DNS,,Jake Davis,152445,USA,Football ( Football ),
2024 Summer Olympics,"Football, Men",United States,DNS,,Johan Gómez,152446,USA,Football ( Football ),
2024 Summer Olympics,"Football, Men",United States,DNS,,John Pulskamp,152447,USA,Football ( Football ),
2024 Summer Olympics,"Football, Women",United States,1,Gold,Alyssa Naeher,1006224,USA,Football ( Football ),
2024 Summer Olympics,"Football, Women",United States,1,Gold,Emily Fox,152428,USA,Football ( Football ),
2024 Summer Olympics,"Football, Women",United States,1,Gold,Naomi Girma,152433,USA,Football ( Football ),
2024 Summer Olympics,"Football, Women",United States,1,Gold,Casey Krueger,147746,USA,Football ( Football ),
2024 Summer Olympics,"Football, Women",United States,1,Gold,Tierna Davidson,147186,USA,Football ( Football ),
2024 Summer Olympics,"Football, Women",United States,1,Gold,Jenna Nighswonger,152431,USA,Football ( Football ),
2024 Summer Olympics,"Football, Women",United States,1,Gold,Korbin Albert,152432,USA,Football ( Football ),
2024 Summer Olympics,"Football, Women",United States,1,Gold,Lindsey Horan,132090,USA,Football ( Football ),
2024 Summer Olympics,"Football, Women",United States,1,Gold,Emily Sonnett,1006304,USA,Football ( Football ),
2024 Summer Olympics,"Football, Women",United States,1,Gold,Rose Lavelle,147185,USA,Football ( Football ),
2024 Summer Olympics,"Football, Women",United States,1,Gold,Sam Coffey,152434,USA,Football ( Football ),
2024 Summer Olympics,"Football, Women",United States,1,Gold,Trinity Rodman,152436,USA,Football ( Football ),
2024 Summer Olympics,"Football, Women",United States,1,Gold,Chrystal Soubrier,132088,USA,Football ( Football ),
2024 Summer Olympics,"Football, Women",United States,1,Gold,Lynn Williams,147747,USA,Football ( Football ),
2024 Summer Olympics,"Football, Women",United States,1,Gold,Mallory Pugh-Swanson,132091,USA,Football ( Football ),
2024 Summer Olympics,"Football, Women",United States,1,Gold,Sophia Smith,152435,USA,Football ( Football ),
2024 Summer Olympics,"Football, Women",United States,1,Gold,Croix Bethune,152427,USA,Football ( Football ),
2024 Summer Olympics,"Football, Women",United States,DNS,Gold,Casey Murphy,152426,USA,Football ( Football ),
2024 Summer Olympics,"Football, Women",United States,DNS,Gold,Jaedyn Shaw,152430,USA,Football ( Football ),
2024 Summer Olympics,"Football, Women",United States,DNS,Gold,Jane Campbell,147748,USA,Football ( Football ),
2024 Summer Olympics,"Football, Women",United States,DNS,Gold,Hal Hershfelt,152429,USA,Football ( Football ),
2024 Summer Olympics,"Football, Women",United States,DNS,Gold,Catarina Macário,147745,USA,Football ( Football ),
2024 Summer Olympics,"Individual, Men",,1,Gold,Scottie Scheffler,152532,USA,Golf,
2024 Summer Olympics,"Individual, Men",,=9,,Xander Schauffele,147419,USA,Golf,
2024 Summer Olympics,"Individual, Men",,=14,,Wyndham Clark,152533,USA,Golf,
2024 Summer Olympics,"Individual, Men",,=24,,Collin Morikawa,147421,USA,Golf,
2024 Summer Olympics,"Individual, Women",,=8,,Rose Zhang,152531,USA,Golf,
2024 Summer Olympics,"Individual, Women",,=22,,Nelly Korda,147189,USA,Golf,
2024 Summer Olympics,"Individual, Women",,=36,,Lilia Vu,152530,USA,Golf,
2024 Summer Olympics,"Hockey, Women",United States,9,,Abby Tamer,153167,USA,Hockey,
2024 Summer Olympics,"Hockey, Women",United States,9,,Meredith Sholder,153183,USA,Hockey,
2024 Summer Olympics,"Hockey, Women",United States,9,,Ashley Sessa,153171,USA,Hockey,
2024 Summer Olympics,"Hockey, Women",United States,9,,Megan Valzonis,153182,USA,Hockey,
2024 Summer Olympics,"Hockey, Women",United States,9,,Brooke DeBerdine,153173,USA,Hockey,
2024 Summer Olympics,"Hockey, Women",United States,9,,Maddie Zimmer,153181,USA,Hockey,
2024 Summer Olympics,"Hockey, Women",United States,9,,Amanda Golini,153169,USA,Hockey,
2024 Summer Olympics,"Hockey, Women",United States,9,,Ashley Hoffman,153170,USA,Hockey,
2024 Summer Olympics,"Hockey, Women",United States,9,,Beth Yeager,153172,USA,Hockey,
2024 Summer Olympics,"Hockey, Women",United States,9,,Leah Crouse,153180,USA,Hockey,
2024 Summer Olympics,"Hockey, Women",United States,9,,Ally Hammel,153168,USA,Hockey,
2024 Summer Olympics,"Hockey, Women",United States,9,,Phia Gladieux,153184,USA,Hockey,
2024 Summer Olympics,"Hockey, Women",United States,9,,Kelee Lepage,153178,USA,Hockey,
2024 Summer Olympics,"Hockey, Women",United States,9,,Karlie Kisha,153177,USA,Hockey,
2024 Summer Olympics,"Hockey, Women",United States,9,,Emma DeBerdine,153175,USA,Hockey,
2024 Summer Olympics,"Hockey, Women",United States,9,,Kelsey Bing,153179,USA,Hockey,
2024 Summer Olympics,"Lightweight, Men",,=17,,Jack Yonezuka,153382,USA,Judo,
2024 Summer Olympics,"Middleweight, Men",,=9,,John Jayne,153383,USA,Judo,
2024 Summer Olympics,"Extra-Lightweight, Women",,=9,,Maria Laborde,153381,USA,Judo,
2024 Summer Olympics,"Half-Lightweight, Women",,=9,,Angelica Delgado,132115,USA,Judo,
2024 Summer Olympics,"10 kilometres Open Water, Men",,19,,Ivan Puskovitch,154793,USA,Marathon Swimming ( Aquatics ),
2024 Summer Olympics,"10 kilometres Open Water, Women",,15,,Katie Grimes,147277,USA,Marathon Swimming ( Aquatics ),
2024 Summer Olympics,Swimming ( Aquatics ),USA,,,Katie Grimes,147277,USA,Marathon Swimming ( Aquatics ),
2024 Summer Olympics,"1,500 metres Freestyle, Women",,10,,Katie Grimes,147277,USA,Marathon Swimming ( Aquatics ),
2024 Summer Olympics,"400 metres Individual Medley, Women",,2,Silver,Katie Grimes,147277,USA,Marathon Swimming ( Aquatics ),
2024 Summer Olympics,"10 kilometres Open Water, Women",,16,,Mariah Denigan,154787,USA,Marathon Swimming ( Aquatics ),
2024 Summer Olympics,"Individual, Women",,28,,Jess Davis,153427,USA,Modern Pentathlon,
2024 Summer Olympics,"Individual, Women",,18,,Evita Griskenas,147212,USA,Rhythmic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Single Sculls, Men",,13,,Jacob Plihal,153871,USA,Rowing,
2024 Summer Olympics,"Double Sculls, Men",Ben Davison,4,,Sorin Koszyk,153877,USA,Rowing,
2024 Summer Olympics,"Double Sculls, Men",Sorin Koszyk,4,,Ben Davison,147438,USA,Rowing,
2024 Summer Olympics,"Coxless Pairs, Men",Oliver Bub,10,,Billy Bender,153866,USA,Rowing,
2024 Summer Olympics,"Coxless Pairs, Men",Billy Bender,10,,Oliver Bub,153873,USA,Rowing,
2024 Summer Olympics,"Coxless Fours, Men",United States,1,Gold,Nick Mead,147445,USA,Rowing,
2024 Summer Olympics,"Coxless Fours, Men",United States,1,Gold,Justin Best,147443,USA,Rowing,
2024 Summer Olympics,"Coxless Fours, Men",United States,1,Gold,Michael Grady,147444,USA,Rowing,
2024 Summer Olympics,"Coxless Fours, Men",United States,1,Gold,Liam Corrigan,2104540,USA,Rowing,
2024 Summer Olympics,"Eights, Men",United States,3,Bronze,Henry Hollingsworth,153870,USA,Rowing,
2024 Summer Olympics,"Eights, Men",United States,3,Bronze,Nicholas Rusher,153872,USA,Rowing,
2024 Summer Olympics,"Eights, Men",United States,3,Bronze,Christian Tabash,153867,USA,Rowing,
2024 Summer Olympics,"Eights, Men",United States,3,Bronze,Clark Dean,147439,USA,Rowing,
2024 Summer Olympics,"Eights, Men",United States,3,Bronze,Christopher Carlson,153868,USA,Rowing,
2024 Summer Olympics,"Eights, Men",United States,3,Bronze,Peter Chatain,153874,USA,Rowing,
2024 Summer Olympics,"Eights, Men",United States,3,Bronze,Evan Olson,153869,USA,Rowing,
2024 Summer Olympics,"Eights, Men",United States,3,Bronze,Pieter Quinton,153875,USA,Rowing,
2024 Summer Olympics,"Eights, Men",United States,3,Bronze,Rielly Milne,153876,USA,Rowing,
2024 Summer Olympics,"Single Sculls, Women",,5,,Kara Kohler,126080,USA,Rowing,
2024 Summer Olympics,"Double Sculls, Women",Kristi Wagner,9,,Sophia Vitas,153864,USA,Rowing,
2024 Summer Olympics,"Double Sculls, Women",Sophia Vitas,9,,Kristi Wagner,147224,USA,Rowing,
2024 Summer Olympics,"Coxless Pairs, Women",Jess Thoennes,4,,Azja Czajkowski,153854,USA,Rowing,
2024 Summer Olympics,"Coxless Pairs, Women",Azja Czajkowski,4,,Jess Thoennes,147222,USA,Rowing,
2024 Summer Olympics,"Quadruple Sculls, Women",United States,9,,Grace Joyce,153858,USA,Rowing,
2024 Summer Olympics,"Quadruple Sculls, Women",United States,9,,Emily Delleman,153856,USA,Rowing,
2024 Summer Olympics,"Quadruple Sculls, Women",United States,9,,Teal Cohen,153865,USA,Rowing,
2024 Summer Olympics,"Quadruple Sculls, Women",United States,9,,Lauren O'Connor,153860,USA,Rowing,
2024 Summer Olympics,"Coxless Fours, Women",United States,5,,Emily Kallfelz,153857,USA,Rowing,
2024 Summer Olympics,"Coxless Fours, Women",United States,5,,Kelsey Reelick,153859,USA,Rowing,
2024 Summer Olympics,"Coxless Fours, Women",United States,5,,Daisy Mazzio-Manson,153855,USA,Rowing,
2024 Summer Olympics,"Coxless Fours, Women",United States,5,,Kate Knifton,2506212,USA,Rowing,
2024 Summer Olympics,"Eights, Women",United States,5,,Molly Bruggeman,153862,USA,Rowing,
2024 Summer Olympics,"Eights, Women",United States,5,,Margaret Hedeman,153861,USA,Rowing,
2024 Summer Olympics,"Eights, Women",United States,5,,Maddie Wanamaker,147226,USA,Rowing,
2024 Summer Olympics,"Eights, Women",United States,5,,Regina Salmons,147230,USA,Rowing,
2024 Summer Olympics,"Eights, Women",United States,5,,Meghan Musnicki,126604,USA,Rowing,
2024 Summer Olympics,"Eights, Women",United States,5,,Claire Collins,147220,USA,Rowing,
2024 Summer Olympics,"Eights, Women",United States,5,,Olivia Coffey,147229,USA,Rowing,
2024 Summer Olympics,"Eights, Women",United States,5,,Charlotte Buck,147218,USA,Rowing,
2024 Summer Olympics,"Eights, Women",United States,5,,Nina Castagna,153863,USA,Rowing,
2024 Summer Olympics,"Lightweight Double Sculls, Women",Michelle Sechser,6,,Molly Reckford,147227,USA,Rowing,
2024 Summer Olympics,"Lightweight Double Sculls, Women",Molly Reckford,6,,Michelle Sechser,147228,USA,Rowing,
2024 Summer Olympics,"Rugby Sevens, Men",United States,8,,Aaron Cummings,153629,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Men",United States,8,,Maka Unufe,136322,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Men",United States,8,,Orrin Bizer,153635,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Men",United States,8,,Matai Leuta,147434,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Men",United States,8,,Marcus Tupuola,153633,USA,Rugby Sevens ( Rugby ),
2024 Summer Olympics,"Rugby Sevens, Men",United States,8,,Kevon Williams,147432,USA,Rugby Sevens ( Rugby ),
